state_name;district_name;Total No. of JobCards issued;Total No. of Workers;Total No. of Active Job Cards;Total No. of Active Workers;SC workers against active workers;ST workers against active workers;Approved Labour Budget;Persondays of Central Liability so far;SC persondays;ST persondays;Women Persondays;Average days of employment provided per Household;Average Wage rate per day per person(Rs.);Total No of HHs completed 100 Days of Wage Employment;Total Households Worked;Total Individuals Worked;Differently abled persons worked;Number of GPs with NIL exp;Total No. of Works Takenup (New+Spill Over);Number of Ongoing Works;Number of Completed Works;% of NRM Expenditure(Public + Individual);% of Category B Works;% of Expenditure on Agriculture & Agriculture Allied Works;Total Exp(Rs. in Lakhs.);Wages(Rs. In Lakhs);Material and skilled Wages(Rs. In Lakhs);Total Adm Expenditure (Rs. in Lakhs.)
ANDAMAN AND NICOBAR;NICOBARS;6173;9866;1007;2011;0;1678;34000;5046;0;4325;1536;28;108.4042806;0;180;201;0;9;172;172;0;95.68;5;4.32;5.47008;5.47008;0.0;0.0
ANDAMAN AND NICOBAR;NORTH AND MIDDLE ANDAMAN;18521;29500;6477;11920;0;0;76000;30487;0;0;18949;22;533.7859087;9;1348;1592;5;0;532;458;74;43.53;41;29.34;167.9665017;162.73531;5.2311917;0.0
ANDAMAN AND NICOBAR;SOUTH ANDAMAN;13726;17491;3420;5016;0;0;40000;4522;0;0;3254;8;1661.345865;0;508;545;1;3;401;174;227;14.1;44;16.5;79.20082;75.12606;1.37476;2.7
ANDHRA PRADESH;SRIKAKULAM;445787;743762;384349;680409;62310;39751;16700000;15568613;1441624;999393;10970657;48;252.668258;9020;322730;472005;6785;4;65095;47441;17654;77.36;58;14.91;50704.06827;39336.94327;10037.24663;1329.87838
ANDHRA PRADESH;VIZIANAGARAM;388651;694622;350587;648430;76009;18149;16800000;15501082;1706793;399666;10691627;50;241.337534;1938;306284;468189;7667;1;62481;49931;12550;84.58;58;5.32;48338.74775;37409.92904;9966.570016;962.2487
ANDHRA PRADESH;VISAKHAPATANAM;39211;58514;32447;51975;4691;518;1400000;1220411;97829;8429;884231;46;257.1238881;407;25980;36667;211;6;5992;4912;1080;86.39;63;7.43;4033.530908;3137.968213;651.2459846;244.31671
ANDHRA PRADESH;EAST GODAVARI;187579;284271;123935;202387;77883;3123;4800000;3704465;1430000;72282;2040186;42;235.6403451;864;87616;117601;1890;0;29651;25294;4357;44.2;48;40.72;13340.33911;8729.214109;4301.666551;309.45845
ANDHRA PRADESH;WEST GODAVARI;178641;284350;125121;218198;58884;1527;3400000;3124054;903959;23318;1767710;34;239.0933496;477;91073;134626;1297;3;36170;30843;5327;5.86;47;74.03;11250.73005;7469.405352;3511.37866;269.94604
ANDHRA PRADESH;KRISHNA;220268;379780;170492;317990;118610;5102;6900000;6330742;2405410;94001;3377645;42;253.0840774;7567;147795;254066;2414;0;63586;53533;10053;9.19;29;78.51;21586.41516;16022.09998;4933.682752;630.63243
ANDHRA PRADESH;GUNTUR;134904;218949;85047;150682;70756;4732;2900000;2695339;1254571;79598;1543985;39;244.1571507;1843;68081;112014;805;23;24785;21535;3250;2.96;32;83.2;9102.121961;6580.862905;2176.509426;344.74963
ANDHRA PRADESH;PRAKASAM;456805;831178;392018;752056;209855;22186;15000000;14195476;3308877;398509;7989493;47;224.2594498;6223;300700;525993;4453;9;48916;43149;5767;75.71;35;11.38;44477.72011;31834.69637;11398.09676;1244.92698
ANDHRA PRADESH;NELLORE;352016;587920;263013;462273;136815;26497;9500000;9203417;2579226;474277;5705072;44;258.5343037;7477;205411;302701;2267;4;58230;48011;10219;52.78;27;32.7;38395.69359;23793.99006;13734.45603;867.2475
ANDHRA PRADESH;CHITTOOR;266398;474363;207297;385619;112194;13067;7000000;5881852;1855550;199486;3582940;45;253.9152479;4455;130100;202219;2346;2;75160;58182;16978;30.1;69;49.35;22598.82456;14934.91909;6882.526697;781.37878
